stabbr,GeoID10_trt,TotalPop,NHwht,NHblk,NHasi,NHother,Hisp,pctNHwht,pctNHblk,pctNHasi,pctNHoth,pctHisp,TotFem,TotMale,pctFem,pctMale,Age00_04,Age05_17,Age18_21,Age22_29,Age30_39,Age40_49,Age50_64,Age65p,pctAge0004,pctAge65p,MedHHinc,TotEduc,Educ_ltHS,Educ_HS,Educ_Coll,pct_ltHS,pct_HS,pct_Coll,TotPovLev,TotBelow,TotAbove,pctBelow,pctAbove,TotHU,TotOcc,TotVac,pctOccup,pctVacant,Own,Rent,pctOwn,pctRent,TotHHpub,PubAsst,NPubAsst,pctPubAsst,pctNPubAst,TotFamily,SinglFemHH,FemHHwc,pctFemHH,pctFemHHwc,sumlevel,stfips,county,tract,GeoID10_cnty
TX,48201100000,4690,2082,1047,134,357,1070,44.39,22.32,2.86,7.61,22.81,1075,3615,22.92,77.08,57,73,115,912,1000,1034,1340,159,1.22,3.39,56705,3375,631,943,1801,18.70,27.94,53.36,2356,771,1585,32.72,67.28,2322,1737,585,74.81,25.19,327,1410,18.83,81.17,1367,0,1367,0.00,100.00,313,20,10,6.39,3.19,140,48,201,100000,
TX,48201210100,9652,2893,4881,58,32,1788,29.97,50.57,0.60,0.33,18.52,1157,8495,11.99,88.01,2,181,1584,2915,2364,1709,848,49,0.02,0.51,87375,4250,1794,1717,739,42.21,40.40,17.39,41,0,41,0.00,100.00,87,72,15,82.76,17.24,11,61,15.28,84.72,41,0,41,0.00,100.00,11,3,1,27.27,9.09,140,48,201,210100,
TX,48201210400,5328,332,904,23,44,4025,6.23,16.97,0.43,0.83,75.54,2566,2762,48.16,51.84,535,1150,312,567,728,682,899,455,10.04,8.54,24345,2930,1438,835,657,49.08,28.50,22.42,4926,2078,2848,42.18,57.82,1801,1593,208,88.45,11.55,607,986,38.10,61.90,1702,31,1671,1.82,98.18,1129,436,242,38.62,21.43,140,48,201,210400,
TX,48201210500,4882,225,535,6,20,4096,4.61,10.96,0.12,0.41,83.90,2398,2484,49.12,50.88,394,1014,366,566,660,576,783,523,8.07,10.71,27021,2659,1256,755,648,47.24,28.39,24.37,5009,1917,3092,38.27,61.73,1693,1504,189,88.84,11.16,712,792,47.34,52.66,1489,58,1431,3.90,96.10,1133,377,188,33.27,16.59,140,48,201,210500,
TX,48201210600,5497,935,96,36,52,4378,17.01,1.75,0.65,0.95,79.64,2710,2787,49.30,50.70,385,903,280,613,792,776,1023,725,7.00,13.19,43006,3919,1332,1141,1446,33.99,29.11,36.90,5614,598,5016,10.65,89.35,2259,2037,222,90.17,9.83,1272,765,62.44,37.56,2255,0,2255,0.00,100.00,1291,311,131,24.09,10.15,140,48,201,210600,
TX,48201210700,2485,85,489,3,17,1891,3.42,19.68,0.12,0.68,76.10,1252,1233,50.38,49.62,248,476,162,328,338,304,370,259,9.98,10.42,31218,1275,683,306,286,53.57,24.00,22.43,2008,584,1424,29.08,70.92,865,754,111,87.17,12.83,431,323,57.16,42.84,752,30,722,3.99,96.01,573,178,74,31.06,12.91,140,48,201,210700,
TX,48201210800,2753,51,953,1,20,1728,1.85,34.62,0.04,0.73,62.77,1356,1397,49.26,50.74,231,575,147,310,399,376,453,262,8.39,9.52,18977,1322,670,346,306,50.68,26.17,23.15,2276,1084,1192,47.63,52.37,1106,891,215,80.56,19.44,332,559,37.26,62.74,726,19,707,2.62,97.38,607,224,88,36.90,14.50,140,48,201,210800,
TX,48201210900,1620,35,1195,20,8,362,2.16,73.77,1.23,0.49,22.35,841,779,51.91,48.09,108,265,91,152,197,235,355,217,6.67,13.40,22043,1211,237,622,352,19.57,51.36,29.07,1844,826,1018,44.79,55.21,731,598,133,81.81,18.19,289,309,48.33,51.67,715,13,702,1.82,98.18,393,182,61,46.31,15.52,140,48,201,210900,
TX,48201211000,2039,38,1387,23,21,570,1.86,68.02,1.13,1.03,27.95,1025,1014,50.27,49.73,165,347,128,191,234,299,369,306,8.09,15.01,13304,1105,478,422,205,43.26,38.19,18.55,1479,671,808,45.37,54.63,893,777,116,87.01,12.99,301,476,38.74,61.26,676,77,599,11.39,88.61,452,217,76,48.01,16.81,140,48,201,211000,
TX,48201211100,6004,52,2732,8,56,3156,0.87,45.50,0.13,0.93,52.56,2919,3085,48.62,51.38,540,1241,377,662,744,827,972,641,8.99,10.68,18073,3869,2062,1092,715,53.30,28.22,18.48,6991,3062,3929,43.80,56.20,2356,1954,402,82.94,17.06,776,1178,39.71,60.29,2189,102,2087,4.66,95.34,1320,514,196,38.94,14.85,140,48,201,211100,
TX,48201211200,2831,29,1821,9,21,951,1.02,64.32,0.32,0.74,33.59,1477,1354,52.17,47.83,209,522,154,272,349,379,574,372,7.38,13.14,19610,1666,697,639,330,41.84,38.36,19.81,2617,1224,1393,46.77,53.23,1383,1087,296,78.60,21.40,430,657,39.56,60.44,1038,33,1005,3.18,96.82,663,264,99,39.82,14.93,140,48,201,211200,
TX,48201211300,5046,113,3484,0,48,1401,2.24,69.04,0.00,0.95,27.76,2574,2472,51.01,48.99,455,1014,279,540,536,674,936,612,9.02,12.13,14731,3569,1867,1102,600,52.31,30.88,16.81,5247,2882,2365,54.93,45.07,2385,1858,527,77.90,22.10,570,1288,30.68,69.32,1862,95,1767,5.10,94.90,1070,556,276,51.96,25.79,140,48,201,211300,
TX,48201211400,3690,288,1986,70,36,1310,7.80,53.82,1.90,0.98,35.50,1832,1858,49.65,50.35,414,750,214,532,575,458,505,242,11.22,6.56,34458,2274,817,590,867,35.93,25.95,38.13,4234,1330,2904,31.41,68.59,1537,1316,221,85.62,14.38,491,825,37.31,62.69,1277,4,1273,0.31,99.69,858,390,242,45.45,28.21,140,48,201,211400,
TX,48201211500,6907,270,241,11,22,6363,3.91,3.49,0.16,0.32,92.12,3362,3545,48.68,51.32,733,1441,465,908,928,839,1024,569,10.61,8.24,33864,3701,2281,702,718,61.63,18.97,19.40,7144,2214,4930,30.99,69.01,2116,1898,218,89.70,10.30,1051,847,55.37,44.63,1821,39,1782,2.14,97.86,1504,403,180,26.80,11.97,140,48,201,211500,
TX,48201211600,2811,100,392,6,20,2293,3.56,13.95,0.21,0.71,81.57,1413,1398,50.27,49.73,252,575,174,310,361,348,466,325,8.96,11.56,31746,1944,865,762,317,44.50,39.20,16.31,3173,969,2204,30.54,69.46,1168,858,310,73.46,26.54,514,344,59.91,40.09,898,0,898,0.00,100.00,648,191,67,29.48,10.34,140,48,201,211600,
TX,48201211700,3886,42,2587,5,47,1205,1.08,66.57,0.13,1.21,31.01,1992,1894,51.26,48.74,301,733,207,402,437,516,768,522,7.75,13.43,27413,2292,831,849,612,36.26,37.04,26.70,3306,1093,2213,33.06,66.94,1653,1408,245,85.18,14.82,641,767,45.53,54.47,1283,77,1206,6.00,94.00,927,417,151,44.98,16.29,140,48,201,211700,
TX,48201211900,5225,124,23,9,12,5057,2.37,0.44,0.17,0.23,96.78,2556,2669,48.92,51.08,498,1201,291,672,688,623,773,479,9.53,9.17,30396,2747,1651,801,295,60.10,29.16,10.74,5143,1413,3730,27.47,72.53,1567,1417,150,90.43,9.57,884,533,62.39,37.61,1373,23,1350,1.68,98.32,1174,282,125,24.02,10.65,140,48,201,211900,
TX,48201212300,5381,288,245,15,25,4808,5.35,4.55,0.28,0.46,89.35,2508,2873,46.61,53.39,464,1066,287,641,756,729,920,518,8.62,9.63,21485,2824,1566,712,546,55.45,25.21,19.33,5028,2412,2616,47.97,52.03,2066,1699,367,82.24,17.76,663,1036,39.02,60.98,1583,17,1566,1.07,98.93,1121,314,142,28.01,12.67,140,48,201,212300,
TX,48201212400,3216,82,186,7,22,2919,2.55,5.78,0.22,0.68,90.76,1547,1669,48.10,51.90,295,667,217,354,437,420,511,315,9.17,9.79,29363,2306,1382,524,400,59.93,22.72,17.35,3633,827,2806,22.76,77.24,1042,938,104,90.02,9.98,534,404,56.93,43.07,982,20,962,2.04,97.96,732,189,89,25.82,12.16,140,48,201,212400,
TX,48201212500,3610,40,2504,8,43,1015,1.11,69.36,0.22,1.19,28.12,1927,1683,53.38,46.62,214,586,165,325,371,401,724,824,5.93,22.83,31511,2750,1026,940,784,37.31,34.18,28.51,3971,800,3171,20.15,79.85,1566,1394,172,89.02,10.98,966,428,69.30,30.70,1367,19,1348,1.39,98.61,901,379,103,42.06,11.43,140,48,201,212500,
TX,48201220100,2097,39,996,1,23,1038,1.86,47.50,0.05,1.10,49.50,1070,1027,51.03,48.97,175,475,122,251,249,245,353,227,8.35,10.82,24360,1281,481,415,385,37.55,32.40,30.05,2541,792,1749,31.17,68.83,725,633,92,87.31,12.69,389,244,61.45,38.55,695,44,651,6.33,93.67,465,183,71,39.35,15.27,140,48,201,220100,
TX,48201220200,3030,187,36,1,7,2799,6.17,1.19,0.03,0.23,92.38,1459,1571,48.15,51.85,246,632,196,404,382,415,490,265,8.12,8.75,26080,1627,963,371,293,59.19,22.80,18.01,2603,925,1678,35.54,64.46,1016,906,110,89.17,10.83,494,412,54.53,45.47,871,36,835,4.13,95.87,685,146,72,21.31,10.51,140,48,201,220200,
TX,48201220300,4509,348,55,15,14,4077,7.72,1.22,0.33,0.31,90.42,2181,2328,48.37,51.63,405,972,312,611,604,580,683,342,8.98,7.58,31892,2411,1148,817,446,47.62,33.89,18.50,4651,1180,3471,25.37,74.63,1421,1298,123,91.34,8.66,636,662,49.00,51.00,1329,9,1320,0.68,99.32,992,239,126,24.09,12.70,140,48,201,220300,
TX,48201220400,5021,298,191,9,16,4507,5.94,3.80,0.18,0.32,89.76,2476,2545,49.31,50.69,560,1136,352,726,656,649,631,311,11.15,6.19,30133,2440,1333,760,347,54.63,31.15,14.22,4551,1612,2939,35.42,64.58,1489,1353,136,90.87,9.13,615,738,45.45,54.55,1269,48,1221,3.78,96.22,1081,276,153,25.53,14.15,140,48,201,220400,
TX,48201220500,4288,585,508,19,27,3149,13.64,11.85,0.44,0.63,73.44,2124,2164,49.53,50.47,351,627,253,513,503,490,784,767,8.19,17.89,18425,3146,1603,931,612,50.95,29.59,19.45,4842,1208,3634,24.95,75.05,1943,1820,123,93.67,6.33,389,1431,21.37,78.63,1855,72,1783,3.88,96.12,775,184,87,23.74,11.23,140,48,201,220500,
TX,48201220600,3894,244,694,5,14,2937,6.27,17.82,0.13,0.36,75.42,2006,1888,51.52,48.48,440,985,260,541,518,484,422,244,11.30,6.27,40556,1930,1183,462,285,61.30,23.94,14.77,3630,728,2902,20.06,79.94,1149,1051,98,91.47,8.53,521,530,49.57,50.43,832,2,830,0.24,99.76,865,315,209,36.42,24.16,140,48,201,220600,
