GEOID,Total Population,18-21 years,22-29 years,30-39 years,40-49 years,65 years and over,Hispanic,Black non-Hispanic,Other non-Hispanic,White non-hispanic,Male,Female,Education Total,Less than high school,High school,College,tract_x,tract_y,latitude,longitude,google_loc,Age50_64
48201100000,4690,115,912,1000,1034,159,1070,1047,357,2082,3615,1075,3375,631,943,1801,100000,1000,29.7572831,-95.3627308,"29.7572831, -95.3627308 (1000)",1340
48201210100,9652,1584,2915,2364,1709,49,1788,4881,32,2893,8495,1157,4250,1794,1717,739,210100,2101,29.7663846,-95.3513042,"29.7663846, -95.3513042 (2101)",848
48201210400,5328,312,567,728,682,455,4025,904,44,332,2762,2566,2930,1438,835,657,210400,2104,29.7864497,-95.3622075,"29.7864497, -95.3622075 (2104)",899
48201210500,4882,366,566,660,576,523,4096,535,20,225,2484,2398,2659,1256,755,648,210500,2105,29.7952577,-95.3603828,"29.7952577, -95.3603828 (2105)",783
48201210600,5497,280,613,792,776,725,4378,96,52,935,2787,2710,3919,1332,1141,1446,210600,2106,29.8070404,-95.3653598,"29.8070404, -95.3653598 (2106)",1023
48201210700,2485,162,328,338,304,259,1891,489,17,85,1233,1252,1275,683,306,286,210700,2107,29.8063932,-95.3539843,"29.8063932, -95.3539843 (2107)",370
48201210800,2753,147,310,399,376,262,1728,953,20,51,1397,1356,1322,670,346,306,210800,2108,29.7952081,-95.344723,"29.7952081, -95.344723 (2108)",453
48201210900,1620,91,152,197,235,217,362,1195,8,35,779,841,1211,237,622,352,210900,2109,29.8041585,-95.3312426,"29.8041585, -95.3312426 (2109)",355
48201211000,2039,128,191,234,299,306,570,1387,21,38,1014,1025,1105,478,422,205,211000,2110,29.7970912,-95.3321489,"29.7970912, -95.3321489 (2110)",369
48201211100,6004,377,662,744,827,641,3156,2732,56,52,3085,2919,3869,2062,1092,715,211100,2111,29.7870751,-95.3320395,"29.7870751, -95.3320395 (2111)",972
48201211200,2831,154,272,349,379,372,951,1821,21,29,1354,1477,1666,697,639,330,211200,2112,29.7981731,-95.3203735,"29.7981731, -95.3203735 (2112)",574
48201211300,5046,279,540,536,674,612,1401,3484,48,113,2472,2574,3569,1867,1102,600,211300,2113,29.77744,-95.3274089,"29.77744, -95.3274089 (2113)",936
48201211400,3690,214,532,575,458,242,1310,1986,36,288,1858,1832,2274,817,590,867,211400,2114,29.7657514,-95.3282383,"29.7657514, -95.3282383 (2114)",505
48201211500,6907,465,908,928,839,569,6363,241,22,270,3545,3362,3701,2281,702,718,211500,2115,29.766666,-95.2968872,"29.766666, -95.2968872 (2115)",1024
48201211600,2811,174,310,361,348,325,2293,392,20,100,1398,1413,1944,865,762,317,211600,2116,29.7809781,-95.3115453,"29.7809781, -95.3115453 (2116)",466
48201211700,3886,207,402,437,516,522,1205,2587,47,42,1894,1992,2292,831,849,612,211700,2117,29.7965959,-95.3043165,"29.7965959, -95.3043165 (2117)",768
48201211900,5225,291,672,688,623,479,5057,23,12,124,2669,2556,2747,1651,801,295,211900,2119,29.783817,-95.2995098,"29.783817, -95.2995098 (2119)",773
48201212300,5381,287,641,756,729,518,4808,245,25,288,2873,2508,2824,1566,712,546,212300,2123,29.7747755,-95.3550489,"29.7747755, -95.3550489 (2123)",920
48201212400,3216,217,354,437,420,315,2919,186,22,82,1669,1547,2306,1382,524,400,212400,2124,29.7863474,-95.2850878,"29.7863474, -95.2850878 (2124)",511
48201212500,3610,165,325,371,401,824,1015,2504,43,40,1683,1927,2750,1026,940,784,212500,2125,29.7520836,-95.2767055,"29.7520836, -95.2767055 (2125)",724
48201220100,2097,122,251,249,245,227,1038,996,23,39,1027,1070,1281,481,415,385,220100,2201,29.8151583,-95.3435294,"29.8151583, -95.3435294 (2201)",353
48201220200,3030,196,404,382,415,265,2799,36,7,187,1571,1459,1627,963,371,293,220200,2202,29.816574,-95.3650519,"29.816574, -95.3650519 (2202)",490
48201220300,4509,312,611,604,580,342,4077,55,14,348,2328,2181,2411,1148,817,446,220300,2203,29.8242157,-95.3657275,"29.8242157, -95.3657275 (2203)",683
48201220400,5021,352,726,656,649,311,4507,191,16,298,2545,2476,2440,1333,760,347,220400,2204,29.831578,-95.3663222,"29.831578, -95.3663222 (2204)",631
48201220500,4288,253,513,503,490,767,3149,508,27,585,2164,2124,3146,1603,931,612,220500,2205,29.8362174,-95.3814687,"29.8362174, -95.3814687 (2205)",784
