Hispanic,Black non-Hispanic,Other non-Hispanic,White non-Hispanic,Male,Female,18-44 years,45-64 years,Bachelor's degree or above,High school graduate or less,Some college,tract_x,tract_y,latitude,longitude,google_loc
0.228144989,0.223240938,0.076119403,0.443923241,0.770788913,0.229211087,0.652665245,0.285714286,0.53362963,0.46637037,0.53362963,100000,1000,29.7572831,-95.3627308,"29.7572831, -95.3627308 (1000)"
0.185246581,0.505698301,0.003315375,0.299730626,0.880128471,0.119871529,0.888106092,0.087857439,0.173882353,0.826117647,0.173882353,210100,2101,29.7663846,-95.3513042,"29.7663846, -95.3513042 (2101)"
0.755442943,0.16966967,0.008258258,0.062312312,0.518393393,0.481606607,0.429617117,0.168731231,0.224232082,0.775767918,0.224232082,210400,2104,29.7864497,-95.3622075,"29.7864497, -95.3622075 (2104)"
0.83900041,0.109586235,0.004096682,0.046087669,0.508807866,0.491192134,0.444080295,0.160385088,0.243700639,0.756299361,0.243700639,210500,2105,29.7952577,-95.3603828,"29.7952577, -95.3603828 (2105)"
0.796434419,0.017464071,0.009459705,0.170092778,0.50700382,0.49299618,0.447698745,0.18610151,0.368971676,0.631028324,0.368971676,210600,2106,29.8070404,-95.3653598,"29.8070404, -95.3653598 (2106)"
0.760965795,0.196780684,0.006841046,0.034205231,0.496177062,0.503822938,0.455533199,0.14889336,0.224313725,0.775686275,0.224313725,210700,2107,29.8063932,-95.3539843,"29.8063932, -95.3539843 (2107)"
0.627678896,0.346167817,0.007264802,0.018525245,0.507446422,0.492553578,0.447511805,0.164547766,0.231467474,0.768532526,0.231467474,210800,2108,29.7952081,-95.344723,"29.7952081, -95.344723 (2108)"
0.22345679,0.737654321,0.004938272,0.021604938,0.480864198,0.519135802,0.416666667,0.219135802,0.290668869,0.709331131,0.290668869,210900,2109,29.8041585,-95.3312426,"29.8041585, -95.3312426 (2109)"
0.279548798,0.68023541,0.010299166,0.018636587,0.497302599,0.502697401,0.417851888,0.180971064,0.185520362,0.814479638,0.185520362,211000,2110,29.7970912,-95.3321489,"29.7970912, -95.3321489 (2110)"
0.525649567,0.45502998,0.009327115,0.008660893,0.513824117,0.486175883,0.434710193,0.161892072,0.184802274,0.815197726,0.184802274,211100,2111,29.7870751,-95.3320395,"29.7870751, -95.3320395 (2111)"
0.335923702,0.643235606,0.007417874,0.01024373,0.478276227,0.521723773,0.407629813,0.20275521,0.198079232,0.801920768,0.198079232,211200,2112,29.7981731,-95.3203735,"29.7981731, -95.3203735 (2112)"
0.27764566,0.69044788,0.009512485,0.022393975,0.489892985,0.510107015,0.402100674,0.18549346,0.168114318,0.831885682,0.168114318,211300,2113,29.77744,-95.3274089,"29.77744, -95.3274089 (2113)"
0.35501355,0.538211382,0.009756098,0.07804878,0.503523035,0.496476965,0.482113821,0.136856369,0.381266491,0.618733509,0.381266491,211400,2114,29.7657514,-95.3282383,"29.7657514, -95.3282383 (2114)"
0.921239322,0.034892138,0.003185174,0.039090777,0.51324743,0.48675257,0.454611264,0.148255393,0.194001621,0.805998379,0.194001621,211500,2115,29.766666,-95.2968872,"29.766666, -95.2968872 (2115)"
0.815723942,0.139452152,0.007114906,0.035574529,0.49733191,0.50266809,0.424404127,0.165777303,0.163065844,0.836934156,0.163065844,211600,2116,29.7809781,-95.3115453,"29.7809781, -95.3115453 (2116)"
0.310087494,0.665723109,0.012094699,0.010808029,0.487390633,0.512609367,0.401955739,0.197632527,0.267015707,0.732984293,0.267015707,211700,2117,29.7965959,-95.3043165,"29.7965959, -95.3043165 (2117)"
0.96784689,0.004401914,0.002296651,0.023732057,0.510813397,0.489186603,0.435215311,0.147942584,0.10738988,0.89261012,0.10738988,211900,2119,29.783817,-95.2995098,"29.783817, -95.2995098 (2119)"
0.893514217,0.045530571,0.004645977,0.05352165,0.533915629,0.466084371,0.44842966,0.170971938,0.193342776,0.806657224,0.193342776,212300,2123,29.7747755,-95.3550489,"29.7747755, -95.3550489 (2123)"
0.907649254,0.057835821,0.006840796,0.025497512,0.518967662,0.481032338,0.444029851,0.158893035,0.173460538,0.826539462,0.173460538,212400,2124,29.7863474,-95.2850878,"29.7863474, -95.2850878 (2124)"
0.281163435,0.693628809,0.011911357,0.011080332,0.466204986,0.533795014,0.349584488,0.200554017,0.285090909,0.714909091,0.285090909,212500,2125,29.7520836,-95.2767055,"29.7520836, -95.2767055 (2125)"
