,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Demographic,% Patients offered Telemedicine Before Covid,% Patients Offered Telemedicine During Covid,% Patients Scheduled Telemedicine Visit
,,,,18-44 years,13.7,30.2,18.8
,,,,45-64 years,13.9,39.8,26.9
,,,,65 years and over,15.3,45.9,32.0
,,,,Bachelor's degree or above,15.5,39.5,25.5
,,,,Black non-Hispanic,18.0,38.5,27.4
,,,,Current asthma,18.3,46.0,36.9
,,,,Diagnosed diabetes,17.8,55.7,44.4
,,,,Diagnosed hypertension,15.1,45.6,32.9
,,,,Female,14.4,39.7,26.4
,,,,High school graduate or less,13.2,35.0,23.1
,,,,Hispanic,13.9,33.4,21.9
,,,,Male,13.9,33.4,22.0
,,,,Metropolitan,14.5,36.7,24.4
,,,,Non-Metropolitan,11.6,35.7,22.6
,,,,One or more chronic conditions,15.6,45.3,31.6
,,,,Other non-Hispanic,17.7,34.1,19.9
,,,,Some college,13.8,35.4,24.2
,,,,Overall Average,14.1,36.6,24.2
,,,,White non-Hispanic,13.0,37.4,24.7
